# Words that must keep their Indonesian reading.
#
# The English layer only ever sees words no Indonesian source places, and many
# of those are names and loanwords that English dictionaries also carry:
# `jakarta` is in en_US.txt, and reading it as /dʒəkɑɹtə/ rather than
# /dʒakarta/ is wrong.
#
# A word listed here is never handed to the English layer. Ordinary Indonesian
# vocabulary does not belong in this file; it belongs in the schwa dictionary.
#
# The `name` rows are facts about what places and institutions are called. The
# `naturalised` rows were found by checking every eligible English word against
# an Indonesian word list, and are the words that list claims as Indonesian.
# That check is complete rather than a sample, because the eligible set is
# bounded by the English dictionary.
#
# category	words (space separated)

name month	januari februari maret april mei juni juli agustus september oktober november desember
naturalised	sitar ska skip slalom sling slip smet smoking sms snatch snob snooker soak sodium sofa sofitel sogang sogo soja solak
naturalised	solid solis solum soma sombrero son sonogram sope soprano sorbet sorus sow spa spam span sparing spartan spatula spin spina
naturalised	spirit spot spring sprint sputnik sputum sql stadium stain stalon standard stanza start statin sten step steroid stigmata stimulator stimulus
naturalised	stockpile stoking stol stoma stomata stop strata strategem stratum stratus streng stress strip strontium stupor subplot subunit suda sugar suh
naturalised	suite suk suki sukiyaki sulawesi sum sumatra sun suni sura suren surplus survey swap swastika sweepstake tabak taber tabloid taekwondo
naturalised	taiko taki taku tal talk talkin talmud talon tamas tambo tamil tamping tampon tangen tango tania tantrum tao tap tape
naturalised	tarantula taras tarot tarsus tartan tartar tatar taul taurus taut tawes temporal tendon term tesla tian tibia tike timpani ting
naturalised	tipo tips tiramisu titan titania titanium todo tofu toga toilet tom tomako tomas tonda tonsil tor tornado toro torso tort
naturalised	toto towel toya tram trans transom trap tremor tribal tribune trifecta trim trio trip triplet tripod trips tritium triton trivia
naturalised	trivial troika tsar tsunami tubular tufa tuhan tuk tula tulip tuman tundra tungsten turban turbojet turquoise tursi tutu udo ufo
naturalised	ultima ultramodern ultraviolet uma umbra una ungar uniform unisex until upp uram uranus urdu urea uremia urian using uterus utilitarian
naturalised	vaginal valentine valid valin valis valium vanadium vandal vegan velvet venal vendor vent ventilator ventral ventura venus ver verba verbatim
naturalised	verbena vernal vernis vertebra vertigo vespa vestibular vestigial vet vibrato vibrator vide videotron vigor vila vim viola violin virago viral
naturalised	virga virginia virgo virtual virtuoso viscount vista vitiligo vitriol vodka volt vulva wadas wadi wage wai waid walas walrus wanda
naturalised	war waring watermark waterway watt web wei wein were wet wig wiki wing wisdom wisman wispy wit wolfram wombat won
naturalised	wong wor workaholic wow xenia xenon yacht yagi yah yahya yak yankee yard yasmin yen yeti yin yogi yolk yolks
naturalised	yom yon yoyo yuk yup yuri zan zarah zeitgeist zen zero zeta zink zion zoom zulfikar zulu
